"","sdate","edate","duration","mag","area","lat","lon"
"1",1997-07-29,1997-11-05,99,0.32,1704258.01,30.3541666666667,-146.395833333333
"2",1998-07-08,1998-10-06,90,0.2,599420.4,27.4375,-154.270833333333
"3",1999-08-01,1999-10-12,72,0.28,659311.25,31.1041666666667,-137.729166666667
"4",2000-08-15,2000-11-15,92,0.33,695036.42,30.3958333333333,-152.979166666667
"5",2002-06-15,2002-09-10,87,0.15,731696.61,33.3958333333333,-154.520833333333
"6",2003-07-26,2003-10-08,74,0.2,1251344.59,31.6875,-139.5625
"7",2004-06-03,2004-08-11,69,0.27,1578578.31,31.5625,-141.354166666667
"8",2005-07-02,2005-10-02,92,0.14,413428.47,22.7291666666667,-153.645833333333
"9",2006-07-22,2006-11-11,112,0.16,1008122.65,31.5208333333333,-152.6875
"10",2007-08-15,2007-11-07,84,0.28,1181737.38,31.6041666666667,-156.145833333333
"11",2008-08-10,2008-10-22,73,0.22,928544.18,34.0625,-153.1875
"12",2009-06-13,2009-10-10,119,0.13,435011.52,26.2708333333333,-143.604166666667
"13",2010-07-01,2010-09-28,89,1.42,374556.18,34.5625,-130.4375
"14",2011-09-07,2011-11-12,66,0.16,1784491.96,30.1041666666667,-153.729166666667
"15",2012-09-01,2012-11-06,66,0.14,451275.84,31.8958333333333,-148.1875
"16",2013-07-10,2013-10-02,84,0.18,603364.58,26.9375,-151.8125
"17",2014-06-14,2014-09-01,79,0.28,692643.48,31.8958333333333,-137.729166666667
"18",2015-08-01,2015-10-01,61,0.09,368766.17,23.8958333333333,-155.770833333333
"19",2016-08-02,2016-09-25,54,0.09,454788.03,26.2291666666667,-154.3125
"20",2017-07-30,2017-09-05,37,0.1,1189617.96,29.1458333333333,-154.479166666667
"21",2018-07-16,2018-10-27,103,0.22,3156290.95,24.6875,-149.104166666667
"22",2019-06-11,2019-09-08,89,0.34,2064552.69,30.9791666666667,-137.895833333333
"23",2020-06-01,2020-10-10,131,0.35,1370575.77,32.5208333333333,-147.895833333333
"24",2021-08-01,2021-10-01,61,0.14,385798.65,34.5625,-130.5625
"25",2022-07-01,2022-10-10,101,0.18,486909.39,23.2291666666667,-153.5625
